year,population,kinneret_level_m,tot_water_produced_million_m3,tot_water_produced_without_desalination_million_m3,tot_water_produced_without_water_reuse_million_m3,tot_water_produced_without_water_reuse_and_desalination_million_m3,total_produced_by_wells_milion_m3,produced_by_kinneret_milion_m3,total_produced_by_upper_water_milion_m3,produced_by_effluents_milion_m3,water_desalination_mcm,ashdod_mcm_per_y,sorek_mcm_per_y,hadera_mcm_per_y,palmachim_mcm_per_y,ashkelon_mcm_per_y,total_water_consumed_milion_m3,domestic_milion_m3,industrial_milion_m3,agricultural_milion_m3,water_for_the_environment_milion_m3,other_suppliers,average_maximum_temperatue,average_minimum_temperatue,mean_annual_temperature,annual_total_wet-day_precipitation_mm,extremely_wet_days_mm,simple_daily_intensity_index_mm_per_day,drought_index,water_tarif_for_citizens_nis,desalinated_water_cost_for_goverment_nis,water_tarif_to_desalination_plants_nis,tarif_domestic_use_initial_cubic_meter_nis_per_m3,tarif_domestic_use_additional_cubic_meter_nis_per_m3,tarif_agricultural_use_treated_waternis_per_m3,tarif_agricultural_use_saline_waternis_per_m3,tarif_industrial_use_initial_ratenis_per_m3,tarif_public_gardening_base_ratenis_per_m3,tarif__public_gardening_excess_ratenis_per_m3,electricity_price_nis_per_kwh,energy_consumed_for_production_desalinated_water_kwh_fixed_price_per_m3,energy_used_per_desalinated_water_kwh,total_t.o.e._electricty_consumed,total_electricity_consumed_in_israel_kwh,grid_dependency_of_water_sector_%,backup__per__renewable_energy_fraction_%,conflict_disruption_%_supply_lost,conflict_scenario_flag_y_per_n,population_displacement_persons_or_%,conflict_severity_index_0-3,conflict_start_year_yyyy,conflict_duration_years,cyber_attack_downtime_days_per_year_or_%_time,cybersecurity_scenario_flag_y_per_n,cyber_incident_frequency_incidents_per_year,cyber_threat_level_index_0-3,attack_attempt_frequency_attempts_per_year,attack_success_probability_%,household_income_low-income_nis_per_year,affordability_threshold_%_income,new_desal_capacity_m³_per_day_or_mcm_per_year,commissioning_year_yyyy,plant_location__per__region_id,scenario_crisis_combination_label,supply_reliability_%,resilience_index_dimensionless,shortfall_severity_mcm_or_%_demand,mean_recovery_time_days,impairment_of_functional_continuity,intrusion_into_computer_systems,weaknesses_in_a_computer_system,raw_groundwater,raw_reuse,total_supply,total_demand,supply_gap
2009,7552000.0,-213.92538602941187,2150.0,1980.0,1743.6667,1573.6667,912.0,186.0,358.3333,406.3333,170.0,0.0,0.0,127.0,37.0,113.0,1811.0,676.0,119.0,1016.0,,,26.61,15.32,20.97,363.8,34.1,9.6,,,191250000.0,,,,,,,,,52.08,3.5,595000000.0,3149184.0,36625009920.0,1.6245729388187429,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1270.3333,406.3333,2032.6666,1811.0,221.66660000000002
2010,7695100.0,-213.3509753086419,2020.0,1756.0,1604.0,1340.0,836.0,167.0,337.0,416.0,264.0,0.0,0.0,143.0,45.0,120.0,1919.0,689.0,130.0,1100.0,,,28.3,16.54,22.42,428.5,57.1,12.3,,,212950000.0,,,,,,,,,43.59,3.5,924000000.0,3208856.6999999997,37319003421.0,2.4759503612040468,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1173.0,416.0,2020.0,1919.0,101.0
2011,7836600.0,-213.1475561797751,2038.5,1761.5,1617.5,1340.5,738.0,196.0,325.0,421.0,277.0,0.0,0.0,126.0,46.0,120.0,1831.0,665.0,124.0,1042.0,,,25.95,14.91,20.43,373.4,46.1,9.2,,,202700000.0,,,,,,,,,49.63,3.5,969500000.0,3267862.1999999997,38005237386.0,2.550964200416059,,,,,1.0,2012.0,,,,,,,,,,,,,,,,,,,,,1063.0,421.0,1957.0,1831.0,126.0
2012,7984500.0,-212.0821961325965,2057.0,1744.0,1631.0,1318.0,802.0,193.0,323.0,426.0,313.0,0.0,40.0,85.0,48.0,121.0,1902.0,694.0,123.0,1085.0,,1.0,26.8,15.6,21.2,476.6,19.0,10.7,,,199150000.0,,,,,,,,,53.91,3.5,1095500000.0,3329536.5,38722509495.0,2.8291038320784843,0.003,,,,2.0,,,,,,,,,,0.2025709219858156,,,,,,,,,,,,1125.0,426.0,2057.0,1902.0,155.0
2013,8134500.0,-210.62489041095864,2106.0,1759.0,1643.0,1296.0,651.0,239.0,406.0,463.0,347.0,0.0,120.0,127.0,69.0,117.0,2076.1,733.7,138.3,1204.0,,1.0,26.97,15.48,21.23,494.1,97.8,13.1,,,282050000.0,,,,,,,,,55.61,3.5,1214500000.0,3392086.5,39449965995.0,3.0785831352907356,0.007,,,,1.0,2014.0,,,,,,,,,0.1709034024247164,,,,,,,,,,,,1057.0,463.0,2106.0,2076.0,30.0
2014,8296600.0,-211.84858904109623,2085.0,1724.0,1632.0,1271.0,801.0,125.0,345.0,453.0,361.0,0.0,150.0,127.0,65.0,80.0,2023.0,754.0,117.0,1122.0,30.0,1.0,27.26,15.48,21.37,353.5,82.1,15.5,,,268550000.0,,,,,,,,,,3.5,1263500000.0,3459682.1999999997,40236103986.0,3.1402145705748,0.015,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1146.0,453.0,2085.0,2023.0,62.0
2015,8463400.0,-212.41819178082167,2152.0,1649.0,1676.0,1173.0,792.0,50.0,331.29425200000003,476.0,503.0,19.0,150.0,135.0,90.0,117.0,2047.0,893.0,0.0,1118.0,36.0,1.15,26.94,15.61,21.28,538.5,44.6,12.4,,,329530000.0,,,,,,,,,46.96,3.5,1760500000.0,3529237.8,41045035614.0,4.28919106455718,0.045,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1123.2942520000001,476.0,2152.294252,2047.0,105.29425200000014
2016,8628600.0,-213.02143715846984,2253.0,1710.4966920000002,1741.0,1198.4966920000002,868.0,24.1411,306.684399,512.0,542.503308,89.0,150.0,127.0,80.0,104.0,2215.0,933.0,0.0,1253.0,29.0,1.3,27.58,15.77,21.68,420.4,18.8,9.5,,,343630000.0,,,,,,,,,,3.5,1898761578.0,3598126.1999999997,41846207706.0,4.537475871983857,0.05,,,,1.0,,,,,,,,,,0.1055806938159879,,,,,,,,,,,,1174.684399,512.0,2253.328807,2215.0,38.32880699999987
2017,8797900.0,-213.59405479452056,2307.0,1721.0,1787.0,1201.0,861.5,34.0,305.0,520.0,586.0,84.0,158.0,135.0,91.0,119.0,2256.0,984.0,0.0,1249.0,23.0,1.0,27.14,15.2,21.17,319.4,31.9,9.8,,,369690000.0,,,,,,,,,48.68,3.5,2051000000.0,3668724.3,42667263609.0,4.806963996555367,0.058,,,,1.0,,,,,,,,,,0.1853429910524073,,,,,,,,,,,,1166.5,520.0,2306.5,2256.0,50.5
2018,8967600.0,-213.98234794520553,2271.0,1626.0,1757.0,1112.0,769.0,18.0,325.0,514.0,645.0,100.0,173.0,155.0,95.0,122.0,2206.0,1011.0,0.0,1173.0,22.0,10.0,,,,,,,,,404110000.0,,,,,,,,,48.44,3.5,2257500000.0,3739489.2,43490259396.0,5.1908175102943455,0.078,,,,1.0,,,,,,,,,,0.0808608441287087,,,,,,,,,,,,1094.0,514.0,2271.0,2206.0,65.0
2019,9140500.0,-211.9606491712707,2318.0,1709.0,1773.0,1164.0,780.0,42.0,342.0,545.0,609.0,98.0,174.0,159.0,98.0,125.0,2238.0,1023.0,0.0,1191.0,24.0,15.7,,,,,,,,,410690000.0,,,,,,,,,49.32,3.5,2131500000.0,,64400000000.0,3.3097826086956523,0.115,,,,1.0,,,,,8600.0,,3233.0,,,0.0967741935483871,,,,,,,,,172.0,4128.0,602.0,1122.0,545.0,2318.0,2238.0,80.0
2020,9289800.0,-209.61580332409991,2400.0,1824.0,1852.0,1276.0,705.0,221.0,350.0,548.0,576.0,94.0,152.0,137.0,88.0,115.0,2254.0,1030.0,0.0,1195.0,29.0,15.7,,,,,,,,,367870000.0,,,,,,,,,46.9,3.5,2016000000.0,,67099999999.99999,3.004470938897169,0.136,,,,1.0,2021.0,,,,9100.0,,1274.0,0.627,,0.089010989010989,,,,,,,,,182.0,273.0,273.0,1055.0,548.0,2400.0,2254.0,146.0
2021,9453000.0,-209.8347388888889,2620.0,2087.0,2063.0,1530.0,927.0,218.0,385.0,557.0,533.0,87.0,131.0,132.0,78.0,104.0,2391.0,1063.0,0.0,1286.0,41.0,19.2,,,,,,,,,334360000.0,,,,,,,,,45.38,3.5,1865500000.0,,67099999999.99999,2.780178837555887,0.17,,,,2.0,2022.0,,,,11106.0,,3220.0,0.312,,0.0915303880888454,,,,,,,,,222.0,1776.0,666.0,1312.0,557.0,2620.0,2390.0,230.0
2022,9662000.0,-209.76497198879545,2605.0,2065.0,2043.0,1503.0,913.0,188.0,402.0,562.0,540.0,84.0,134.0,133.0,78.0,104.0,2344.3,1090.9,0.0,1214.6,38.8,,,,,,,,,,335010000.0,,,,,,,,,51.73,3.5,1890000000.0,,70900000000.0,2.6657263751763045,0.212,,,0.0335059396893085,2.0,2023.0,,,,9108.0,,2823.0,0.6301,,0.0862954186413902,,,,,,,,,91.0,637.0,1092.0,1315.0,562.0,2605.0,2344.3,260.6999999999998
2023,9990300.0,-210.69225290697665,2567.0,1980.4,1972.4,1385.8000000000002,924.8,159.3,301.59999999999997,594.6,586.6,86.0,156.0,139.0,90.0,119.0,2413.3,1108.2,0.0,1261.7,43.4,,,,,,,,,,371490000.0,,,,,,,,,51.34,3.5,2053100000.0,,71700000000.0,2.863458856345886,24.4,,,,3.0,2023.0,,,,13040.0,,3301.0,0.242,,,,,,,,,,,260.0,1695.0,1173.0,1226.3999999999999,594.6,2566.9,2413.3,153.5999999999999
